"excel_row","Study_ID","Author_Year","Location_ID","Measured","Order","Family","Common_name","Trophic_Level","Sampling_date","variation","m_g","se_g","n_g","m_c","se_c","n_c","Stratum","Herbivore_origin","Max_size_class","Single_size_class","Response_group","Design","Years_since_exclusion","zero_adjusted","sd_g","sd_c","yi","vi","es_id"
179,"#2492","Cope et al., 2019","LOC05","Abundance","Oligochaeta","Lumbricidae + Megascolecidae (Amynthas)","Epi-endogeic","Detritivore","Late August to early October 2013 and 2014","SE",3.32214765100671,0.70469798657718,44,4.46308724832215,1.10738255033557,44,"Ground & litter-dwelling","Native","Medium","Medium","Abundance","Exclosure",12.5,FALSE,4.67443762399083,7.34554483769987,0.295229278087165,0.106559092276975,172
180,"#1532","Neff et al., 2007","LOC01","Abundance","Lepidoptera",NA,"Butterflies","Herbivore","June-August 2001","SE",23.171,15.687,4,36.021,45.66,4,"Above-ground","Native","Large","Large","Abundance","Exclosure",4,FALSE,31.374,91.32,0.441200604946079,2.06513691981541,173
181,"#1532","Neff et al., 2007","LOC01","Abundance","Lepidoptera",NA,"Butterflies","Herbivore","June-August 2001","SE",10.509,8.712,5,23.136,14.865,5,"Above-ground","Native","Large","Large","Abundance","Exclosure",4,FALSE,19.4806242199782,33.2391504855344,0.789157813092895,1.10006006799014,174
182,"#1532","Neff et al., 2007","LOC01","Richness","Lepidoptera",NA,"Butterflies","Herbivore","June-August 2001","SE",4.38,2.139,4,5.764,1.837,4,"Above-ground","Native","Large","Large","Richness","Exclosure",4,FALSE,4.278,3.674,0.274582953748921,0.340062892991325,175
183,"#1532","Neff et al., 2007","LOC01","Richness","Lepidoptera",NA,"Butterflies","Herbivore","June-August 2001","SE",3.235,1.822,5,4.41,1.028,5,"Above-ground","Native","Large","Large","Richness","Exclosure",4,FALSE,4.07411585500462,2.29867788086978,0.309845761505891,0.371549629177069,176
184,"#1684","Littlewood 2008","LOC21","Abundance","Lepidoptera",NA,"Moth","Herbivore","3 June - 3 October 2007","SE",33.6812889662525,6.3805206931524,6,47.9977806707884,7.6820199390192,6,"Above-ground","Domestic","Medium","Medium","Abundance","Exclosure",4,FALSE,15.6290199914926,18.8170290444834,0.354212314202428,0.0615026451459794,177
185,"#1684","Littlewood 2008","LOC21","Richness","Lepidoptera",NA,"Moth","Herbivore","3 June - 3 October 2007","SE",10.6168224299065,0.981308411214899,6,13.2118380062305,1.4065420560747,6,"Above-ground","Domestic","Medium","Medium","Richness","Exclosure",4,FALSE,2.40370488777775,3.44531033914814,0.218673481525386,0.0198771160350062,178
186,"#1875","Littlewood et al., 2012","LOC21","Richness","Hemiptera","Auchenorrhyncha",NA,"Herbivore","1 June and 9 July 2007","SE",3.89538461538461,0.48,6,4.43076923076923,0.36923076923076,6,"Above-ground","Domestic","Medium","Medium","Richness","Exclosure",4,FALSE,1.17575507653593,0.904426981950689,0.128780789865926,0.0221282902700096,179
187,"#1875","Littlewood et al., 2012","LOC21","Richness","Hemiptera","Auchenorrhyncha",NA,"Herbivore","1 June and 9 July 2007","SE",1.85454545454545,0.2,6,3.06666666666666,0.30909090909091,6,"Above-ground","Domestic","Medium","Medium","Richness","Exclosure",4,FALSE,0.489897948556635,0.757115011405712,0.502951567335085,0.0217888699318999,180
188,"#1708","Li et al., 2021","LOC38","Abundance","Hemiptera","Aphididae","Aphid","Herbivore","Mid-July and mid-August 2012","SE",423.08,57.88,6,398.33,52.87,6,"Above-ground","Domestic","Medium","Medium","Abundance","Exclosure",2,FALSE,141.77646631229,129.504522700947,-0.0602804789982011,0.0363329833519159,181
189,"#1708","Li et al., 2021","LOC38","Abundance","Coleoptera","Coccinellidae","Lady-beetle","Predator","Mid-July and mid-August 2012","SE",6.42,3.11,6,5.75,2.84,6,"Above-ground","Domestic","Medium","Medium","Abundance","Exclosure",2,FALSE,7.61791310005568,6.95655086950423,-0.110218262892611,0.478616392399384,182
190,"#1825","Nordkvist et al., 2023","LOC_SWEDEN_16STANDS","Abundance",NA,NA,NA,NA,"June and July 2016 (summed)","SE",133.599999999999,24,16,162.399999999999,26.4,16,"Above-ground","Native","Large","Large","Abundance","Exclosure",4,FALSE,96,105.6,0.195212166625034,0.0586970538727049,183
191,"#1193","Pringle et al., 2007","LOC26","Abundance",NA,NA,NA,NA,"June-September 2004 and June-September 2005","SE",23,7,6,26,5,6,"Above-ground","Mixed","Mega",NA,"Abundance","Exclosure",10,FALSE,17.1464281994822,12.2474487139159,0.122602322092332,0.129609847764566,184
192,"#1193","Pringle et al., 2007","LOC26","Abundance","Coleoptera",NA,NA,NA,"June-September 2004 and June-September 2005","SE",3.7,2.8,6,6.9,1.5,6,"Ground & litter-dwelling","Mixed","Mega",NA,"Abundance","Exclosure",10,FALSE,6.8585712797929,3.67423461417477,0.623188591953035,0.619939768103054,185
193,"#1349","Nelson et al., 2021","LOC_NACHUSA","Abundance","Coleoptera",NA,NA,"Carnivore","2018","SE",69,6.66,3,120,10.82,6,"Ground & litter-dwelling","Native","Large","Large","Abundance","Natural grazed vs ungrazed",4,FALSE,11.5354583784087,26.503479016914,0.553385238184787,0.0174464739025415,186
194,"#1349","Nelson et al., 2021","LOC_NACHUSA","Abundance","Coleoptera",NA,NA,"Herbivore","2018","SE",3,2,3,2.17,0.48,6,"Ground & litter-dwelling","Native","Large","Large","Abundance","Natural grazed vs ungrazed",4,FALSE,3.46410161513775,1.17575507653593,-0.323885121115742,0.493373068963971,187
195,"#1349","Nelson et al., 2021","LOC_NACHUSA","Abundance","Coleoptera",NA,NA,"Omnivore","2018","SE",42.33,12.81,3,13.33,3.39,6,"Ground & litter-dwelling","Native","Large","Large","Abundance","Natural grazed vs ungrazed",4,FALSE,22.1875708449573,8.30377022803497,-1.15547892034221,0.156255624602901,188
196,"#1349","Nelson et al., 2021","LOC_NACHUSA","Abundance","Coleoptera",NA,NA,NA,"2018","SE",0.006,0.004,3,0.016,0.009,6,"Ground & litter-dwelling","Native","Large","Large","Abundance","Natural grazed vs ungrazed",4,FALSE,0.00692820323027551,0.0220454076850486,0.980829253011726,0.760850694444444,189
198,"#1349","Nelson et al., 2021","LOC_NACHUSA","Richness","Coleoptera",NA,NA,NA,"2018","SE",1.871,0.183,3,2.096,0.013,6,"Ground & litter-dwelling","Native","Large","Large","Richness","Natural grazed vs ungrazed",4,FALSE,0.316965297785105,0.0318433666561813,0.113557719166843,0.00960500207416709,190
199,"#1520","Moran 2014","LOC07","Abundance",NA,NA,NA,"Herbivore","May-September, 2001 and 2002","SE",124.830188679245,9.50943396226401,3,119.396226415094,23.094339622641,3,"Above-ground","Native","Large","Large","Abundance","Natural grazed vs ungrazed",9,FALSE,16.4708227738623,40.0005695936652,-0.044506727256038,0.0432168680656983,191
200,"#1520","Moran 2014","LOC07","Abundance",NA,NA,NA,"Carnivore","May-September, 2001 and 2002","SE",45.1948051948052,6.9016697588126,3,25.3803339517625,4.0074211502783,3,"Above-ground","Native","Large","Large","Abundance","Natural grazed vs ungrazed",9,FALSE,11.9540426793251,6.94105703960813,-0.577007530647293,0.0482508964336853,192
201,"#1520","Moran 2014","LOC07","Abundance",NA,NA,NA,"Detritivore","May-September, 2001 and 2002","SE",4.11214953271027,0.82242990654206,3,3.14018691588784,0.97196261682243,3,"Above-ground","Native","Large","Large","Abundance","Natural grazed vs ungrazed",9,FALSE,1.42449038379497,1.68348863539405,-0.269663566949103,0.135804988662133,193
202,"#1520","Moran 2014","LOC07","Diversity",NA,NA,NA,"Herbivore","May-September, 2001 and 2002","SE",12.6813186813186,0.939560439560498,3,10.3901098901098,0.6758241758242,3,"Above-ground","Native","Large","Large","Diversity","Natural grazed vs ungrazed",9,FALSE,1.62736641810053,1.17056180951088,-0.199275558969535,0.00972019156633738,194
203,"#1520","Moran 2014","LOC07","Diversity",NA,NA,NA,"Carnivore","May-September, 2001 and 2002","SE",9.35180055401662,1.18282548476448,3,5.88088642659279,0.698060941828261,3,"Above-ground","Native","Large","Large","Diversity","Natural grazed vs ungrazed",9,FALSE,2.04871383609937,1.20907701802593,-0.463861394012593,0.0300871329685617,195
204,"#1585","Qin et al., 2017","LOC36","Richness",NA,NA,NA,NA,"2014","SE",61.9744058500914,4.7531992687385,3,86.0146252285192,1.27970749542961,3,"Above-ground","Domestic","Medium","Medium","Richness","Exclosure",0,FALSE,8.23278263195431,2.21651840091079,0.327795851644984,0.00610365037807037,196
205,"#1585","Qin et al., 2017","LOC36","Richness",NA,NA,NA,NA,"2015","SE",33.08957952468,6.1243144424132,3,63.071297989031,1.2797074954297,3,"Above-ground","Domestic","Medium","Medium","Richness","Exclosure",1,FALSE,10.6076237757875,2.21651840091095,0.645047385765535,0.0346673480702099,197
206,"#2078","Pringle et al., 2015","LOC26","Abundance",NA,NA,NA,NA,"2013 ans 2014","SE",18.9,3.2,3,15.3,1.8,3,"Above-ground","Native","Mega","Mega","Abundance","Exclosure",19,FALSE,5.54256258422041,3.11769145362398,-0.211309093667207,0.0425074411270197,198
207,"#3069","Pan et al., 2019","LOC34","Abundance","Lepidoptera",NA,"Caterpillar","Herbivore","5 Jun<U+2013>11 Aug 2014","SE",331.288343558282,3.271983640082,3,246.216768916155,2.45398773006102,3,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",1,FALSE,5.66724190615618,4.2504314296163,-0.296776802357665,0.000196882757689878,199
208,"#3069","Pan et al., 2019","LOC34","Abundance","Lepidoptera",NA,"Caterpillar","Herbivore","5 Jun<U+2013>11 Aug 2014","SE",298.543260370117,1.31493684095398,3,246.216768916155,2.45398773006102,3,"Above-ground","Domestic","Medium","Medium","Abundance","Exclosure",1,FALSE,2.2775374172764,4.2504314296163,-0.192702525812973,0.000118736362177868,200
209,"#1068","Yang et al., 2017","LOC40","Abundance",NA,NA,NA,NA,"42248","SE",13.68,1.06,6,7.76,0.77,6,"Below-ground","Domestic","Large","Large","Abundance","Exclosure",11,FALSE,2.59645912735017,1.88610710194305,-0.566952577999277,0.015849942788475,201
210,"#1068","Yang et al., 2017","LOC40","Abundance",NA,NA,NA,NA,"42248","SE",14.22,1.17,6,12.67,1.15,6,"Below-ground","Domestic","Large","Large","Abundance","Exclosure",11,FALSE,2.86590299905632,2.81691320420065,-0.115412430042047,0.0150081404033092,202
211,"#1068","Yang et al., 2017","LOC40","Abundance",NA,NA,NA,NA,"42248","SE",1.61,0.06,6,1.82,0.17,6,"Below-ground","Domestic","Large","Large","Abundance","Exclosure",11,FALSE,0.146969384566991,0.41641325627314,0.122602322092332,0.0101136269991045,203
212,"#1068","Yang et al., 2017","LOC40","Abundance",NA,NA,NA,NA,"42248","SE",8.61,0.51,6,6.88,0.53,6,"Below-ground","Domestic","Large","Large","Abundance","Exclosure",11,FALSE,1.24923976881942,1.29822956367508,-0.224305666494387,0.00944297484688324,204
213,"#1068","Yang et al., 2017","LOC40","Richness",NA,NA,NA,NA,"42248","SE",16.17,1.01,6,16.67,0.88,6,"Below-ground","Domestic","Large","Large","Richness","Exclosure",11,FALSE,2.47398464021101,2.1555509736492,0.0304530231736872,0.00668814521436937,205
214,"#1068","Yang et al., 2017","LOC40","Diversity",NA,NA,NA,NA,"42248","SE",2.08,0.11,6,2.11,0.12,6,"Below-ground","Domestic","Large","Large","Diversity","Exclosure",11,FALSE,0.26944387170615,0.293938769133981,0.0143200537747485,0.00603121124094885,206
215,"#1690","Kossoff et al., 2024","LOC14","Abundance",NA,NA,NA,NA,"May-July 2022","SE",19.06,6.94,4,30.75,8.2,3,"Ground & litter-dwelling","Invasive","Small","Small","Abundance","Natural grazed vs ungrazed",NA,FALSE,13.88,14.2028166220648,0.478298096026471,0.203689625527947,207
216,"#1690","Kossoff et al., 2024","LOC14","Abundance",NA,NA,NA,NA,"May-July 2022","SE",13.03,4.78,4,21.58,8.79,3,"Above-ground","Invasive","Small","Small","Abundance","Natural grazed vs ungrazed",NA,FALSE,9.56,15.2247265985304,0.504512568693235,0.30048667838992,208
217,"#1690","Kossoff et al., 2024","LOC14","Richness",NA,NA,NA,NA,"May-July 2022","SE",9,0.91,4,8,2.08,3,"Ground & litter-dwelling","Invasive","Small","Small","Richness","Natural grazed vs ungrazed",NA,FALSE,1.82,3.60266567974326,-0.117783035656384,0.0778234567901235,209
218,"#1624","Huffman et al., 2009","LOC02","Richness",NA,NA,NA,NA,"37408","SE",0.35,0.11,52,1.43,0.17,52,"Above-ground","Native","Large",NA,"Richness","Exclosure",3,FALSE,0.793221280602078,1.22588743365776,1.40749656877049,0.112908230630508,210
219,"#1624","Huffman et al., 2009","LOC02","Richness",NA,NA,NA,NA,"37773","SE",1.3,0.03,30,6.83,0.98,30,"Above-ground","Native","Large",NA,"Richness","Exclosure",4,FALSE,0.16431676725155,5.36768106355063,1.65896040911521,0.0211203824627688,211
220,"#1624","Huffman et al., 2009","LOC02","Richness",NA,NA,NA,NA,"38139","SE",0.5,0.13,30,4.77,0.44,30,"Above-ground","Native","Large",NA,"Richness","Exclosure",5,FALSE,0.712039324756716,2.40997925302273,2.2554934854602,0.076108805470951,212
221,"#1624","Huffman et al., 2009","LOC02","Diversity",NA,NA,NA,NA,"37408","SE",0.06,0.03,52,0.31,0.05,52,"Above-ground","Native","Large",NA,"Diversity","Exclosure",3,FALSE,0.216333076527839,0.360555127546399,1.64222773525709,0.276014568158169,213
222,"#1624","Huffman et al., 2009","LOC02","Diversity",NA,NA,NA,NA,"37773","SE",0.26,0.09,30,1.48,0.17,30,"Above-ground","Native","Large",NA,"Diversity","Exclosure",4,FALSE,0.492950301754649,0.931128347758783,1.73911573574263,0.133016422387524,214
223,"#1624","Huffman et al., 2009","LOC02","Diversity",NA,NA,NA,NA,"38139","SE",0.09,0.04,30,1.31,0.11,30,"Above-ground","Native","Large",NA,"Diversity","Exclosure",5,FALSE,0.219089023002066,0.602494813255683,2.67797274586493,0.204581735358885,215
224,"#1624","Huffman et al., 2009","LOC02","Abundance",NA,NA,NA,"Herbivore","37408","SE",0.38,0.13,52,2.17,0.38,52,"Above-ground","Native","Large",NA,"Abundance","Exclosure",3,FALSE,0.937443331620637,2.74021896935263,1.74231119381407,0.147701346933716,216
225,"#1624","Huffman et al., 2009","LOC02","Abundance",NA,NA,NA,"Herbivore","37773","SE",1.3,0.41,30,8.18,1.52,30,"Above-ground","Native","Large",NA,"Abundance","Exclosure",4,FALSE,2.24566248577118,8.32538287407852,1.83932788614716,0.133996182733167,217
226,"#1624","Huffman et al., 2009","LOC02","Abundance",NA,NA,NA,"Herbivore","38139","SE",0.33,0.15,30,3.98,0.62,30,"Above-ground","Native","Large",NA,"Abundance","Exclosure",5,FALSE,0.821583836257749,3.39587985653203,2.48994444381796,0.230878634210965,218
227,"#1624","Huffman et al., 2009","LOC02","Abundance",NA,NA,NA,"Predator","37408","SE",0.06,0.03,52,0.13,0.05,52,"Above-ground","Native","Large",NA,"Abundance","Exclosure",3,FALSE,0.216333076527839,0.360555127546399,0.773189888233482,0.39792899408284,219
228,"#1624","Huffman et al., 2009","LOC02","Abundance",NA,NA,NA,"Predator","37773","SE",0.12,0.06,30,2.8,0.63,30,"Above-ground","Native","Large",NA,"Abundance","Exclosure",4,FALSE,0.3286335345031,3.45065211228255,3.14988295338125,0.300625,220
229,"#1624","Huffman et al., 2009","LOC02","Abundance",NA,NA,NA,"Predator","38139","SE",0.06,0.05,30,0.98,0.27,30,"Above-ground","Native","Large",NA,"Abundance","Exclosure",5,FALSE,0.273861278752583,1.47885090526395,2.79320800944252,0.770350316997548,221
230,"#1624","Huffman et al., 2009","LOC02","Abundance",NA,NA,NA,"Omnivore","37408","SE",0.005,0.005,52,0.245,0.13,52,"Above-ground","Native","Large",NA,"Abundance","Exclosure",3,TRUE,0.0360555127546399,0.937443331620637,3.89182029811063,1.28154935443565,222
231,"#1624","Huffman et al., 2009","LOC02","Abundance",NA,NA,NA,"Omnivore","37773","SE",0.13,0.06,30,0.7,0.25,30,"Above-ground","Native","Large",NA,"Abundance","Exclosure",4,FALSE,0.3286335345031,1.36930639376292,1.68354588458782,0.340568771887453,223
232,"#1624","Huffman et al., 2009","LOC02","Abundance",NA,NA,NA,"Omnivore","38139","SE",0.37,0.22,30,1.6,0.36,30,"Above-ground","Native","Large",NA,"Abundance","Exclosure",5,FALSE,1.20498962651137,1.9718012070186,1.4642559025896,0.40416773192111,224
233,"#1624","Huffman et al., 2009","LOC02","Abundance",NA,NA,NA,"Pollinator","37408","SE",0.06,0.03,52,0.06,0.03,52,"Above-ground","Native","Large",NA,"Abundance","Exclosure",3,FALSE,0.216333076527839,0.216333076527839,0,0.5,225
234,"#1624","Huffman et al., 2009","LOC02","Abundance",NA,NA,NA,"Pollinator","37773","SE",0.25,0.19,30,3.12,0.95,30,"Above-ground","Native","Large",NA,"Abundance","Exclosure",4,FALSE,1.04067285925982,5.20336429629908,2.52412736294128,0.670312442472058,226
235,"#1624","Huffman et al., 2009","LOC02","Abundance",NA,NA,NA,"Pollinator","38139","SE",0.005,0.005,30,0.015,0.07,30,"Above-ground","Native","Large",NA,"Abundance","Exclosure",5,TRUE,0.0273861278752583,0.383405790253616,1.09861228866811,22.7777777777778,227
236,"#1624","Huffman et al., 2009","LOC02","Abundance",NA,NA,NA,"Parasitoid","37408","SE",0.02,0.02,52,0.05,0.02,52,"Above-ground","Native","Large",NA,"Abundance","Exclosure",3,FALSE,0.14422205101856,0.14422205101856,0.916290731874155,1.16,228
237,"#1624","Huffman et al., 2009","LOC02","Abundance",NA,NA,NA,"Parasitoid","37773","SE",0.005,0.005,30,0.665,0.24,30,"Above-ground","Native","Large",NA,"Abundance","Exclosure",4,TRUE,0.0273861278752583,1.3145341380124,4.89034912822175,1.13025043812539,229
238,"#1624","Huffman et al., 2009","LOC02","Abundance",NA,NA,NA,"Parasitoid","38139","SE",0.005,0.005,30,0.205,0.08,30,"Above-ground","Native","Large",NA,"Abundance","Exclosure",5,TRUE,0.0273861278752583,0.438178046004133,3.71357206670431,1.15229030339084,230
239,"#1485","Guy et al., 2021","LOC26","Richness",NA,NA,NA,"Pollinator","May 30 - July 3, 2014","SE",21.9364599092284,12.9349470499244,3,37.2919818456883,8.77458396369141,3,"Above-ground","Native",NA,NA,"Richness","Exclosure",6,FALSE,22.4039854836822,15.1980252403926,0.530628251062171,0.403056544153652,231
240,"#1485","Guy et al., 2021","LOC26","Abundance",NA,NA,NA,"Pollinator","May 30 - July 3, 2014","SE",62.7538082810444,17.9308493901198,3,310.893627260443,89.365039702371,3,"Above-ground","Native",NA,NA,"Abundance","Exclosure",6,FALSE,31.0571421665529,154.784789184916,1.60023155323164,0.164268525050378,232
241,"#1485","Guy et al., 2021","LOC26","Diversity",NA,NA,NA,"Pollinator","May 30 - July 3, 2014","SE",14.5429362880886,8.3102493074792,3,22.8808864265928,2.6592797783933,3,"Above-ground","Native",NA,NA,"Diversity","Exclosure",6,FALSE,14.3937740241181,4.6060076877177,0.453196510929357,0.340038342254454,233
242,"#1485","Guy et al., 2021","LOC26","Richness",NA,NA,NA,"Pollinator","May 30 - July 3, 2014","SE",30.2571860816944,2.4962178517397,3,42.0574886535552,8.2450832072617,3,"Above-ground","Native",NA,NA,"Richness","Exclosure",6,FALSE,4.3235761459736,14.2809030276102,0.3293037471426,0.0452391727265663,234
243,"#1485","Guy et al., 2021","LOC26","Abundance",NA,NA,NA,"Pollinator","May 30 - July 3, 2014","SE",54.0775908342123,9.5438391915154,3,176.990671331001,34.4156625391,3,"Above-ground","Native",NA,NA,"Abundance","Exclosure",6,FALSE,16.5304143789717,59.6096760938661,1.18567714428181,0.0689570865153003,235
244,"#1485","Guy et al., 2021","LOC26","Diversity",NA,NA,NA,"Pollinator","May 30 - July 3, 2014","SE",21.1080332409972,0.886426592797797,3,32.1329639889196,6.7036011080333,3,"Above-ground","Native",NA,NA,"Diversity","Exclosure",6,FALSE,1.53533589590595,11.6109777127887,0.420228728413763,0.0452861512348745,236
245,"#1687","Juan-Baeza et a., 2015","LOC08","Richness","Lepidoptera",NA,NA,"Herbivore","Monthly, July-November 2010","SE",0.00705722070844685,0.027874659400545,3,0.126648501362397,0.024277929155314,4,"Above-ground","Domestic","Large",NA,"Richness","Exclosure",4,FALSE,0.0482803263254213,0.048555858310628,2.88736423683221,15.6377220490438,237
246,"#1687","Juan-Baeza et a., 2015","LOC08","Abundance","Lepidoptera",NA,NA,"Herbivore","40483","SE",0.00187617260787997,0.0540337711069416,3,0.0288930581613506,0.0506566604127582,4,"Above-ground","Domestic","Large",NA,"Abundance","Exclosure",4,FALSE,0.0935892368817701,0.101313320825516,2.73436750941955,832.513874177724,238
247,"#1801","Joubert et al., 2016","LOC29","Abundance","Orthoptera",NA,"Grasshopper","Herbivore","Nov 2012, Jan 2013, Mar 2013 (pooled)","SE",37.6165803108808,6.3730569948186,13,26.2694300518134,4.6632124352332,7,"Above-ground","Native","Large","Large","Abundance","Exclosure",NA,FALSE,22.9783837762729,12.3377004142909,-0.359039011233615,0.0602151421598371,239
248,"#1801","Joubert et al., 2016","LOC29","Richness","Orthoptera",NA,"Grasshopper","Herbivore","Nov 2012, Jan 2013, Mar 2013 (pooled)","SE",8.92722371967655,0.582210242587601,13,7.63342318059299,0.711590296495951,7,"Above-ground","Native","Large","Large","Richness","Exclosure",NA,FALSE,2.09918888274992,1.882690959895,-0.15656906069154,0.0129433397286592,240
254,"#1423","Hassan et al., 2021","LOC38","Abundance","Orthoptera",NA,"Grasshoppers","Herbivore","2012","SE",48.7017543859649,10.1052631578947,4,143.157894736842,13.052631578947,4,"Above-ground","Domestic","Large","Large","Abundance","Exclosure",2,FALSE,20.2105263157894,26.105263157894,1.07823312633146,0.0513664089272884,241
255,"#1505","Cecil et a., 2019","LOC03","Abundance","Formicidae",NA,"Ant",NA,"29 Apr-21 May 2015  and 18-27 May 2016","SE",2.93733833419555,0.77114588722194,4,1.13314795654423,0.40739782721159,4,"Ground & litter-dwelling","Native","Large","Large","Abundance","Exclosure",18,FALSE,1.54229177444388,0.81479565442318,-0.952504280968064,0.198183162203166,242
256,"#1505","Cecil et a., 2019","LOC03","Abundance","Formicidae",NA,"Ant",NA,"29 Apr-21 May 2015  and 18-27 May 2016","SE",2.34079151577858,0.421947749612,4,1.44742628039317,0.32882824624935,4,"Ground & litter-dwelling","Native","Large","Large","Abundance","Exclosure",18,FALSE,0.843895499224,0.6576564924987,-0.480702126529193,0.0841045174781944,243
257,"#1505","Cecil et a., 2019","LOC03","Abundance","Formicidae",NA,"Ant",NA,"29 Apr-21 May 2015  and 18-27 May 2016","SE",1.2902871184687,0.38411795137093,4,0.507501293326436,0.15713916192447,4,"Ground & litter-dwelling","Native","Large","Large","Abundance","Exclosure",18,FALSE,0.76823590274186,0.31427832384894,-0.93312078570733,0.184497660028179,244
258,"#1505","Cecil et a., 2019","LOC03","Abundance","Coleoptera",NA,"Beetles",NA,"29 Apr-21 May 2015  and 18-27 May 2016","SE",0.458979328165374,0.083656330749355,4,0.158268733850129,0.018087855297158,4,"Ground & litter-dwelling","Native","Large","Large","Abundance","Exclosure",18,FALSE,0.16731266149871,0.036175710594316,-1.06471073699243,0.0462821228372457,245
259,"#1505","Cecil et a., 2019","LOC03","Abundance","Coleoptera",NA,"Beetles",NA,"29 Apr-21 May 2015  and 18-27 May 2016","SE",2.67248062015504,0.53585271317829,4,1.26841085271318,0.47932816537468,4,"Ground & litter-dwelling","Native","Large","Large","Abundance","Exclosure",18,FALSE,1.07170542635658,0.95865633074936,-0.745242292443346,0.183009153618494,246
260,"#1505","Cecil et a., 2019","LOC03","Abundance","Coleoptera",NA,"Beetles",NA,"29 Apr-21 May 2015  and 18-27 May 2016","SE",1.578165374677,0.72125322997416,4,0.377583979328165,0.174095607235142,4,"Ground & litter-dwelling","Native","Large","Large","Abundance","Exclosure",18,FALSE,1.44250645994832,0.348191214470284,-1.43022529034562,0.421460111295346,247
261,"#1505","Cecil et a., 2019","LOC03","Abundance","Aranaea",NA,"Spiders","Predator","29 Apr-21 May 2015  and 18-27 May 2016","SE",0.584087968952135,0.076326002587322,4,0.404269081500647,0.070504527813713,4,"Ground & litter-dwelling","Native","Large","Large","Abundance","Exclosure",18,FALSE,0.152652005174644,0.141009055627426,-0.367970903680584,0.0474914531017441,248
262,"#1505","Cecil et a., 2019","LOC03","Abundance","Aranaea",NA,"Spiders","Predator","29 Apr-21 May 2015  and 18-27 May 2016","SE",0.764553686934023,0.109314359637775,4,0.411384217335058,0.129366106080207,4,"Ground & litter-dwelling","Native","Large","Large","Abundance","Exclosure",18,FALSE,0.21862871927555,0.258732212160414,-0.619764634625922,0.119331202786618,249
263,"#1505","Cecil et a., 2019","LOC03","Abundance","Aranaea",NA,"Spiders","Predator","29 Apr-21 May 2015  and 18-27 May 2016","SE",0.613842173350582,0.117723156532988,4,0.253557567917206,0.029754204398447,4,"Ground & litter-dwelling","Native","Large","Large","Abundance","Exclosure",18,FALSE,0.235446313065976,0.059508408796894,-0.884146958819464,0.0505501876954526,250
264,"#1505","Cecil et a., 2019","LOC03","Abundance","Acari",NA,"Mites",NA,"29 Apr-21 May 2015  and 18-27 May 2016","SE",0.156279069767442,0.065116279069767,4,0.0162790697674418,0.0227906976744184,4,"Ground & litter-dwelling","Native","Large","Large","Abundance","Exclosure",18,FALSE,0.130232558139534,0.0455813953488368,-2.2617630984738,2.13361111111109,251
265,"#1505","Cecil et a., 2019","LOC03","Abundance","Acari",NA,"Mites",NA,"29 Apr-21 May 2015  and 18-27 May 2016","SE",0.133488372093022,0.058604651162791,4,0.237674418604651,0.081395348837209,4,"Ground & litter-dwelling","Native","Large","Large","Abundance","Exclosure",18,FALSE,0.117209302325582,0.162790697674418,0.576887374444092,0.310025207497754,252
266,"#1505","Cecil et a., 2019","LOC03","Abundance","Acari",NA,"Mites",NA,"29 Apr-21 May 2015  and 18-27 May 2016","SE",2.02837209302326,1.12651162790697,4,0.117209302325581,0.022790697674419,4,"Ground & litter-dwelling","Native","Large","Large","Abundance","Exclosure",18,FALSE,2.25302325581394,0.045581395348838,-2.85102758033135,0.34625248409996,253
267,"#1505","Cecil et a., 2019","LOC03","Abundance","Isopoda",NA,"Woodlice","Detritivore","29 Apr-21 May 2015  and 18-27 May 2016","SE",12.1849184221396,5.0986162742668,4,16.7349494010739,7.6963289962826,4,"Ground & litter-dwelling","Native","Large","Large","Abundance","Exclosure",18,FALSE,10.1972325485336,15.3926579925652,0.317300319006259,0.386593148281157,254
268,"#1505","Cecil et a., 2019","LOC03","Abundance","Isopoda",NA,"Woodlice","Detritivore","29 Apr-21 May 2015  and 18-27 May 2016","SE",3.85932982238744,2.30728521272201,4,3.14939591078066,1.16171003717472,4,"Ground & litter-dwelling","Native","Large","Large","Abundance","Exclosure",18,FALSE,4.61457042544402,2.32342007434944,-0.203282887168551,0.49348322655659,255
269,"#1505","Cecil et a., 2019","LOC03","Abundance","Isopoda",NA,"Woodlice","Detritivore","29 Apr-21 May 2015  and 18-27 May 2016","SE",6.97335811648079,1.9361833952912,4,11.1845570012391,4.0982548533664,4,"Ground & litter-dwelling","Native","Large","Large","Abundance","Exclosure",18,FALSE,3.8723667905824,8.1965097067328,0.472437083141575,0.211356189774717,256
270,"#1505","Cecil et a., 2019","LOC03","Abundance",NA,NA,"Bristletails","Detritivore","29 Apr-21 May 2015  and 18-27 May 2016","SE",0.0372093023255807,0.0116279069767443,4,0.0697674418604641,0.0395348837209299,4,"Ground & litter-dwelling","Native","Large","Large","Abundance","Exclosure",18,FALSE,0.0232558139534886,0.0790697674418598,0.628608659422378,0.41876736111112,257
